id_namespace	local_id	persistent_id	creation_time	abbreviation	name	description
https://www.lincsproject.org/	LDG-1397	https://lincsportal.ccs.miami.edu/datasets/view/LDG-1397	2017-12-22T00:00:00+00:00		 QL-XII-47 KINOMEscan	
https://www.lincsproject.org/	LDG-1107	https://lincsportal.ccs.miami.edu/datasets/view/LDG-1107	2013-07-08T00:00:00+00:00		(R)-Roscovitine KINOMEscan	For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of (R)-Roscovitine at 10 uM of concentration.
https://www.lincsproject.org/	LDG-1399	https://lincsportal.ccs.miami.edu/datasets/view/LDG-1399	2017-12-22T00:00:00+00:00		(s)-CR8 KINOMEscan	
https://www.lincsproject.org/	LDG-1187	https://lincsportal.ccs.miami.edu/datasets/view/LDG-1187	2014-06-26T00:00:00+00:00		5z-7-oxozeaenol KINOMEscan	For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of 5z-7-oxozeaenol at 10 uM of concentration.
https://www.lincsproject.org/	LDG-1251	https://lincsportal.ccs.miami.edu/datasets/view/LDG-1251	2016-01-20T00:00:00+00:00		5z-7-oxozeaenol KiNativ -- single dose experiment	-
https://www.lincsproject.org/	LDG-1042	https://lincsportal.ccs.miami.edu/datasets/view/LDG-1042	2011-11-21T00:00:00+00:00		A443654 KINOMEscan	For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of A443654 at 10 uM of concentration.
https://www.lincsproject.org/	LDG-1104	https://lincsportal.ccs.miami.edu/datasets/view/LDG-1104	2013-06-10T00:00:00+00:00		A549 cells -- High-throughput Secretomic Analysis of Single Cells	High-throughput secretomic analysis of single A549 cells.
https://www.lincsproject.org/	LDG-1096	https://lincsportal.ccs.miami.edu/datasets/view/LDG-1096	2013-04-01T00:00:00+00:00		A770041 KINOMEscan	For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of A770041 at 10 uM of concentration.
https://www.lincsproject.org/	LDG-1148	https://lincsportal.ccs.miami.edu/datasets/view/LDG-1148	2013-10-16T00:00:00+00:00		AB-1010 KINOMEscan	-
https://www.lincsproject.org/	LDG-1160	https://lincsportal.ccs.miami.edu/datasets/view/LDG-1160	2013-10-16T00:00:00+00:00		ABT-869 KINOMEscan	For the panel of kinases, the Kd is measured using 11 serial threefold dilutions of ABT-869.
https://www.lincsproject.org/	LDG-1125	https://lincsportal.ccs.miami.edu/datasets/view/LDG-1125	2013-10-16T00:00:00+00:00		AC220 KINOMEscan	For the panel of kinases, the Kd is measured using 11 serial threefold dilutions of AC220.
https://www.lincsproject.org/	LDG-1069	https://lincsportal.ccs.miami.edu/datasets/view/LDG-1069	2012-08-10T00:00:00+00:00		AG1478 KINOMEscan	For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of AG1478 at 10 uM of concentration.
https://www.lincsproject.org/	LDG-1032	https://lincsportal.ccs.miami.edu/datasets/view/LDG-1032	2011-11-21T00:00:00+00:00		ALW-II-38-3 KINOMEscan	For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of ALW-II-38-3 at 10 uM of concentration.
https://www.lincsproject.org/	LDG-1033	https://lincsportal.ccs.miami.edu/datasets/view/LDG-1033	2011-11-21T00:00:00+00:00		ALW-II-49-7 KINOMEscan	For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of ALW-II-49-7 at 10 uM of concentration.
https://www.lincsproject.org/	LDG-1128	https://lincsportal.ccs.miami.edu/datasets/view/LDG-1128	2013-10-16T00:00:00+00:00		AMG-706 KINOMEscan	-
https://www.lincsproject.org/	LDG-1398	https://lincsportal.ccs.miami.edu/datasets/view/LDG-1398	2017-12-22T00:00:00+00:00		AS-252424 KINOMEscan	
https://www.lincsproject.org/	LDG-1169	https://lincsportal.ccs.miami.edu/datasets/view/LDG-1169	2013-10-16T00:00:00+00:00		AT-7519 KINOMEscan	For the panel of kinases, the Kd is measured using 11 serial threefold dilutions of AT-7519.
https://www.lincsproject.org/	LDG-1010	https://lincsportal.ccs.miami.edu/datasets/view/LDG-1010	2011-07-15T00:00:00+00:00		AZ-628 KINOMEscan	For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of AZ-628 at 10 uM of concentration.
https://www.lincsproject.org/	LDG-1074	https://lincsportal.ccs.miami.edu/datasets/view/LDG-1074	2011-07-15T00:00:00+00:00		AZ-628 KiNativ -- dose response experiment	-
https://www.lincsproject.org/	LDG-1118	https://lincsportal.ccs.miami.edu/datasets/view/LDG-1118	2013-07-08T00:00:00+00:00		AZD 5438 KINOMEscan	For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of AZD 5438 at 10 uM of concentration.
https://www.lincsproject.org/	LDG-1136	https://lincsportal.ccs.miami.edu/datasets/view/LDG-1136	2013-10-16T00:00:00+00:00		AZD-1152HQPA KINOMEscan-2	-
https://www.lincsproject.org/	LDG-1134	https://lincsportal.ccs.miami.edu/datasets/view/LDG-1134	2013-10-16T00:00:00+00:00		AZD-6244 KINOMEscan	-
https://www.lincsproject.org/	LDG-1022	https://lincsportal.ccs.miami.edu/datasets/view/LDG-1022	2011-07-15T00:00:00+00:00		AZD-6482 KINOMEscan	For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of AZD-6482 at 10 uM of concentration.
https://www.lincsproject.org/	LDG-1027	https://lincsportal.ccs.miami.edu/datasets/view/LDG-1027	2011-07-15T00:00:00+00:00		AZD1152-HQPA KINOMEscan	For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of AZD1152-HQPA at 10 uM of concentration.
https://www.lincsproject.org/	LDG-1112	https://lincsportal.ccs.miami.edu/datasets/view/LDG-1112	2013-07-08T00:00:00+00:00		AZD4547 KINOMEscan	For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of AZD4547 at 10 uM of concentration.
https://www.lincsproject.org/	LDG-1012	https://lincsportal.ccs.miami.edu/datasets/view/LDG-1012	2011-07-15T00:00:00+00:00		AZD7762 KINOMEscan	For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of AZD7762 at 10 uM of concentration.
https://www.lincsproject.org/	LDG-1395	https://lincsportal.ccs.miami.edu/datasets/view/LDG-1395	2017-12-22T00:00:00+00:00		Abemaciclib KINOMEscan	
https://www.lincsproject.org/	EDS-1015	https://lincsportal.ccs.miami.edu/datasets/view/EDS-1015	2016-03-01T00:00:00+00:00		Aggregated ChEMBL bioactivity data (v20)	
https://www.lincsproject.org/	EDG-1016	https://lincsportal.ccs.miami.edu/datasets/view/EDG-1016	2019-02-28T00:00:00+00:00		Aggregated Tox21 bioactivity data	Confirmatory and associated toxicity counter assays from the Tox21 project were filtered by compound purity and aggregated by CID.  Data are presented by assay pairings and include relevant dataset annotations.
https://www.lincsproject.org/	LDG-1215	https://lincsportal.ccs.miami.edu/datasets/view/LDG-1215	2015-04-17T00:00:00+00:00		Average variable importance in the projection (VIP) scores from the PLSR models analyzing the covariation of molecular signals with cell viability and apoptosis fraction in BRAF(V600E/D) melanoma cell lines	-
https://www.lincsproject.org/	LDG-1079	https://lincsportal.ccs.miami.edu/datasets/view/LDG-1079	2013-01-11T00:00:00+00:00		BEZ235 KINOMEscan	For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of BEZ235 at 10 uM of concentration.
https://www.lincsproject.org/	LDG-1209	https://lincsportal.ccs.miami.edu/datasets/view/LDG-1209	2015-04-17T00:00:00+00:00		BGJ398 KINOMEscan	For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of BGJ398 at 10 uM of concentration.
https://www.lincsproject.org/	LDG-1040	https://lincsportal.ccs.miami.edu/datasets/view/LDG-1040	2011-11-21T00:00:00+00:00		BI-2536 KINOMEscan	For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of BI-2536 at 10 uM of concentration.
https://www.lincsproject.org/	LDG-1127	https://lincsportal.ccs.miami.edu/datasets/view/LDG-1127	2013-10-16T00:00:00+00:00		BI-2536 KINOMEscan-2	-
https://www.lincsproject.org/	LDG-1380	https://lincsportal.ccs.miami.edu/datasets/view/LDG-1380	2017-09-29T00:00:00+00:00		BI-D1870 KINOMEscan	
https://www.lincsproject.org/	LDG-1153	https://lincsportal.ccs.miami.edu/datasets/view/LDG-1153	2013-10-16T00:00:00+00:00		BIBF-1120 KINOMEscan	For the panel of kinases, the Kd is measured using 11 serial threefold dilutions of BIBF-1120.
https://www.lincsproject.org/	LDG-1150	https://lincsportal.ccs.miami.edu/datasets/view/LDG-1150	2013-10-16T00:00:00+00:00		BIBW-2992 KINOMEscan	For the panel of kinases, the Kd is measured using 11 serial threefold dilutions of BIBW-2992.
https://www.lincsproject.org/	LDG-1129	https://lincsportal.ccs.miami.edu/datasets/view/LDG-1129	2013-10-16T00:00:00+00:00		BIRB-796 KINOMEscan	-
https://www.lincsproject.org/	LDG-1124	https://lincsportal.ccs.miami.edu/datasets/view/LDG-1124	2013-10-16T00:00:00+00:00		BMS-345541 KINOMEscan	-
https://www.lincsproject.org/	LDG-1149	https://lincsportal.ccs.miami.edu/datasets/view/LDG-1149	2013-10-16T00:00:00+00:00		BMS-387032 KINOMEscan	For the panel of kinases, the Kd is measured using 11 serial threefold dilutions of BMS-387032.
https://www.lincsproject.org/	LDG-1095	https://lincsportal.ccs.miami.edu/datasets/view/LDG-1095	2013-04-01T00:00:00+00:00		BMS-536924 KINOMEscan	For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of BMS-536924 at 10 uM of concentration.
