Tool_Name	tool_homepage_url	Tool_Description	Center	PMID	Electronic_Location_Identifier	Article_Title	Article_Date	Abstract	Journal_Title	ISSN	CFDE_Grant	Grant_List	Citations	KeywordList	Readers_Count	Altmetric_Score	Facebook_Shares	Readers_in_Mendeley	Mentions_in_social_media	Twitter_accounts_that_tweeted_this_publication	Scientists_who_mentioned_the_publication_on_Twitter	Institution	Country	Article_Language	Topic	Last_Author	Author_Information	Publication_Type
AChroMap	http://achromap.neurolincs.org/shiny/achromap/	Accessible chromatin mapper of transcriptional regulators	NeuroLINCS	[]																								
ARCHS4	https://amp.pharm.mssm.edu/archs4/	Massive mining of publicly available RNA-seq data from human and mouse	DCIC	[29636450.0]	10.1038/s41467-018-03751-6	Massive mining of publicly available RNA-seq data from human and mouse		RNA sequencing (RNA-seq) is the leading technology for genome-wide transcript quantification. However, publicly available RNA-seq data is currently provided mostly in raw form, a significant barrier for global and integrative retrospective analyses. ARCHS4 is a web resource that makes the majority of published RNA-seq data from human and mouse available at the gene and transcript levels. For developing ARCHS4, available FASTQ files from RNA-seq experiments from the Gene Expression Omnibus (GEO) were aligned using a cloud-based infrastructure. In total 187,946 samples are accessible through ARCHS4 with 103,083 mouse and 84,863 human. Additionally, the ARCHS4 web interface provides intuitive exploration of the processed data through querying tools, interactive visualization, and gene pages that provide average expression across cell lines and tissues, top co-expressed genes for each gene, and predicted biological functions and protein-protein interactions for each gene based on prior knowledge combined with co-expression.	Nature communications	2041-1723			106.0			69.0		438.0		116.0								
BioJupies	http://biojupies.cloud	Automated Generation of Interactive Notebooks for RNASeq Data Analysis in the Cloud.	DCIC	[30447998.0]	10.1016/j.cels.2018.10.007	BioJupies Automated Generation of Interactive Notebooks for RNASeq Data Analysis in the Cloud.		BioJupies is a web application that enables the automated creation storage and deployment of Jupyterxa0Notebooks containing RNAseq data analyses. Through an intuitive interface novice users can rapidly generate tailored reports to analyze and visualize their own raw sequencing files gene expression tables or fetch data from 9000 published studies containing 300000 preprocessed RNAseq samples. Generated notebooks have the executable code of the entire pipeline rich narrative text interactive data visualizations differential expression and enrichment analyses. The notebooks are permanently stored in the cloud and made available online through a persistent URL. The notebooks are downloadable customizable and can run within a Docker container. By providing an intuitive user interface for notebook generation for RNAseq data analysis starting from the raw reads all the way to a complete interactive and reproducible report BioJupies is a useful resource for experimental and computational biologists. BioJupies is freely available as a webbased application from http//biojupies.cloud.	Cell systems	2405-4712	CA224260	[{'Agency': 'NIH HHS', 'Acronym': 'OD', 'Country': 'United States', 'GrantID': 'OT3 OD025467'}, {'Agency': 'NCI NIH HHS', 'Acronym': 'CA', 'Country': 'United States', 'GrantID': 'U24 CA224260'}, {'Agency': 'NCI NIH HHS', 'Acronym': 'CA', 'Country': 'United States', 'GrantID': 'U54 CA189201'}, {'Agency': 'NHLBI NIH HHS', 'Acronym': 'HL', 'Country': 'United States', 'GrantID': 'U54 HL127624'}]	22.0	['Data commons', 'Jupyter notebook', 'Rna-seq', 'Bioinformatics', 'Data visualization', 'Enrichment analysis', 'Pipeline', 'Systems biology']	119.0	110.854		117.0	2.0	83.0	46.0	Icahn School of Medicine at Mount Sinai	USA	['eng']	[{'Topic': 'Tools to perform sequence analysis', 'LDA_probability': 0.62}, {'Topic': 'Disease study using gene expression', 'LDA_probability': 0.29}, {'Topic': 'Protein structure', 'LDA_probability': 0.08}]	"{'Name': ""Avi Ma'ayan"", 'ForeName': 'Avi', 'Initials': 'A', 'LastName': ""Ma'ayan"", 'AffiliationInfo': [{'Affiliation': 'Department of Pharmacological Sciences, BD2K-LINCS Data Coordination and Integration Center (DCIC), Mount Sinai Center for Bioinformatics, Knowledge Management Center (KMC) for Illuminating the Druggable Genome (IDG), Team Nitrogen of the NIH Data Commons Pilot Project Consortium (DCPPC), Icahn School of Medicine at Mount Sinai, One Gustave L. Levy Place, Box 1603, New York, NY 10029, USA. Electronic address: avi.maayan@mssm.edu.'}]}"	"[{'Name': 'Denis Torre', 'ForeName': 'Denis', 'Initials': 'D', 'LastName': 'Torre', 'AffiliationInfo': [{'Affiliation': 'Department of Pharmacological Sciences, BD2K-LINCS Data Coordination and Integration Center (DCIC), Mount Sinai Center for Bioinformatics, Knowledge Management Center (KMC) for Illuminating the Druggable Genome (IDG), Team Nitrogen of the NIH Data Commons Pilot Project Consortium (DCPPC), Icahn School of Medicine at Mount Sinai, One Gustave L. Levy Place, Box 1603, New York, NY 10029, USA.'}]}, {'Name': 'Alexander Lachmann', 'ForeName': 'Alexander', 'Initials': 'A', 'LastName': 'Lachmann', 'AffiliationInfo': [{'Affiliation': 'Department of Pharmacological Sciences, BD2K-LINCS Data Coordination and Integration Center (DCIC), Mount Sinai Center for Bioinformatics, Knowledge Management Center (KMC) for Illuminating the Druggable Genome (IDG), Team Nitrogen of the NIH Data Commons Pilot Project Consortium (DCPPC), Icahn School of Medicine at Mount Sinai, One Gustave L. Levy Place, Box 1603, New York, NY 10029, USA.'}]}, {'Name': ""Avi Ma'ayan"", 'ForeName': 'Avi', 'Initials': 'A', 'LastName': ""Ma'ayan"", 'AffiliationInfo': [{'Affiliation': 'Department of Pharmacological Sciences, BD2K-LINCS Data Coordination and Integration Center (DCIC), Mount Sinai Center for Bioinformatics, Knowledge Management Center (KMC) for Illuminating the Druggable Genome (IDG), Team Nitrogen of the NIH Data Commons Pilot Project Consortium (DCPPC), Icahn School of Medicine at Mount Sinai, One Gustave L. Levy Place, Box 1603, New York, NY 10029, USA. Electronic address: avi.maayan@mssm.edu.'}]}]"	['Journal Article', 'Research Support, N.I.H., Extramural']
Cell Dynamics Browser	https://lincs.hms.harvard.edu/explore/single-cell-dynamics/	Online live-cell data visualization showing the responses of single cells to treatment with 3 EGFR/Her2 inhibitors.	HMS LINCS	[]																								
ChEA3	https://amp.pharm.mssm.edu/ChEA3	transcription factor enrichment analysis by orthogonal omics integration.	DCIC	[31114921.0]	10.1093/nar/gkz446	ChEA3 transcription factor enrichment analysis by orthogonal omics integration.		Identifying the transcription factors TFs responsible for observed changes in gene expression is an important step in understanding gene regulatory networks. ChIPX Enrichment Analysis 3 ChEA3 is a transcription factor enrichment analysis tool that ranks TFs associated with usersubmitted gene sets. The ChEA3 background database contains a collection of gene set libraries generated from multiple sources including TFgene coexpression from RNAseq studies TFtarget associations from ChIPseq experiments and TFgene cooccurrence computed from crowdsubmitted gene lists. Enrichment results from these distinct sources are integrated to generate a composite rank that improves the prediction of the correct upstream TF compared to ranks produced by individual libraries. We compare ChEA3 with existing TF prediction tools and show that ChEA3 performs better. By integrating the ChEA3 libraries we illuminate general transcription factor properties such as whether the TF behaves as an activator or a repressor. The ChEA3 webserver is available from https//amp.pharm.mssm.edu/ChEA3.	Nucleic acids research	1362-4962	CA224260	[{'Agency': 'NIH HHS', 'Acronym': 'OD', 'Country': 'United States', 'GrantID': 'OT3 OD025467'}, {'Agency': 'NHLBI NIH HHS', 'Acronym': 'HL', 'Country': 'United States', 'GrantID': 'T32 HL007824'}, {'Agency': 'NCI NIH HHS', 'Acronym': 'CA', 'Country': 'United States', 'GrantID': 'U24 CA224260'}, {'Agency': 'NHLBI NIH HHS', 'Acronym': 'HL', 'Country': 'United States', 'GrantID': 'U54 HL127624'}]	10.0		74.0	13.25		74.0		21.0	11.0	Icahn School of Medicine at Mount Sinai	USA	['eng']	[{'Topic': 'Biological pathways and interactions', 'LDA_probability': 0.42}, {'Topic': 'Alignment algorithms and methods', 'LDA_probability': 0.2}, {'Topic': 'Drugs and chemical studies', 'LDA_probability': 0.13}, {'Topic': 'Protein structure', 'LDA_probability': 0.11}, {'Topic': 'Tools to perform sequence analysis', 'LDA_probability': 0.1}, {'Topic': 'Disease study using gene expression', 'LDA_probability': 0.03}]	"{'Name': ""Avi Ma'ayan"", 'ForeName': 'Avi', 'Initials': 'A', 'LastName': ""Ma'ayan"", 'AffiliationInfo': [{'Affiliation': 'Department of Pharmacological Sciences, Mount Sinai Center for Bioinformatics, Icahn School of Medicine at Mount Sinai, One Gustave L. Levy Place, Box 1603, New York, NY 10029, USA.'}]}"	"[{'Name': 'Alexandra B Keenan', 'ForeName': 'Alexandra B', 'Initials': 'AB', 'LastName': 'Keenan', 'AffiliationInfo': [{'Affiliation': 'Department of Pharmacological Sciences, Mount Sinai Center for Bioinformatics, Icahn School of Medicine at Mount Sinai, One Gustave L. Levy Place, Box 1603, New York, NY 10029, USA.'}]}, {'Name': 'Denis Torre', 'ForeName': 'Denis', 'Initials': 'D', 'LastName': 'Torre', 'AffiliationInfo': [{'Affiliation': 'Department of Pharmacological Sciences, Mount Sinai Center for Bioinformatics, Icahn School of Medicine at Mount Sinai, One Gustave L. Levy Place, Box 1603, New York, NY 10029, USA.'}]}, {'Name': 'Alexander Lachmann', 'ForeName': 'Alexander', 'Initials': 'A', 'LastName': 'Lachmann', 'AffiliationInfo': [{'Affiliation': 'Department of Pharmacological Sciences, Mount Sinai Center for Bioinformatics, Icahn School of Medicine at Mount Sinai, One Gustave L. Levy Place, Box 1603, New York, NY 10029, USA.'}]}, {'Name': 'Ariel K Leong', 'ForeName': 'Ariel K', 'Initials': 'AK', 'LastName': 'Leong', 'AffiliationInfo': [{'Affiliation': 'Department of Pharmacological Sciences, Mount Sinai Center for Bioinformatics, Icahn School of Medicine at Mount Sinai, One Gustave L. Levy Place, Box 1603, New York, NY 10029, USA.'}]}, {'Name': 'Megan L Wojciechowicz', 'ForeName': 'Megan L', 'Initials': 'ML', 'LastName': 'Wojciechowicz', 'AffiliationInfo': [{'Affiliation': 'Department of Pharmacological Sciences, Mount Sinai Center for Bioinformatics, Icahn School of Medicine at Mount Sinai, One Gustave L. Levy Place, Box 1603, New York, NY 10029, USA.'}]}, {'Name': 'Vivian Utti', 'ForeName': 'Vivian', 'Initials': 'V', 'LastName': 'Utti', 'AffiliationInfo': [{'Affiliation': 'Department of Pharmacological Sciences, Mount Sinai Center for Bioinformatics, Icahn School of Medicine at Mount Sinai, One Gustave L. Levy Place, Box 1603, New York, NY 10029, USA.'}]}, {'Name': 'Kathleen M Jagodnik', 'ForeName': 'Kathleen M', 'Initials': 'KM', 'LastName': 'Jagodnik', 'AffiliationInfo': [{'Affiliation': 'Department of Pharmacological Sciences, Mount Sinai Center for Bioinformatics, Icahn School of Medicine at Mount Sinai, One Gustave L. Levy Place, Box 1603, New York, NY 10029, USA.'}]}, {'Name': 'Eryk Kropiwnicki', 'ForeName': 'Eryk', 'Initials': 'E', 'LastName': 'Kropiwnicki', 'AffiliationInfo': [{'Affiliation': 'Department of Pharmacological Sciences, Mount Sinai Center for Bioinformatics, Icahn School of Medicine at Mount Sinai, One Gustave L. Levy Place, Box 1603, New York, NY 10029, USA.'}]}, {'Name': 'Zichen Wang', 'ForeName': 'Zichen', 'Initials': 'Z', 'LastName': 'Wang', 'AffiliationInfo': [{'Affiliation': 'Department of Pharmacological Sciences, Mount Sinai Center for Bioinformatics, Icahn School of Medicine at Mount Sinai, One Gustave L. Levy Place, Box 1603, New York, NY 10029, USA.'}]}, {'Name': ""Avi Ma'ayan"", 'ForeName': 'Avi', 'Initials': 'A', 'LastName': ""Ma'ayan"", 'AffiliationInfo': [{'Affiliation': 'Department of Pharmacological Sciences, Mount Sinai Center for Bioinformatics, Icahn School of Medicine at Mount Sinai, One Gustave L. Levy Place, Box 1603, New York, NY 10029, USA.'}]}]"	['Journal Article']
Cite-D-Lite	https://chrome.google.com/webstore/detail/cite-d-lite/ipiffhgeigmiffclkpkgdaklbdgdegkk?hl=en	Simple-to-use browser extension that generates downloadable files (.ris, .bib, .enw) compatible with various reference managers	DCIC	[]																								
Clarion	https://www.lincsclarion.org/#/	Millions of Micro Environment Perturbations at a click	MEP LINCS	[]																								
CLUE Platform	https://clue.io/	Computational environment to interface with the L1000 data	LINCS Transcriptomics	[29195078.0]	10.1016/j.cell.2017.10.049	A Next Generation Connectivity Map L1000 Platform and the First 1,000,000 Profiles		We previously piloted the concept of a Connectivity Map (CMap), whereby genes, drugs, and disease states are connected by virtue of common gene-expression signatures. Here, we report more than a 1,000-fold scale-up of the CMap as part of the NIH LINCS Consortium, made possible by a new, low-cost, high-throughput reduced representation expression profiling method that we term L1000. We show that L1000 is highly reproducible, comparable to RNA sequencing, and suitable for computational inference of the expression levels of 81% of non-measured transcripts. We further show that the expanded CMap can be used to discover mechanism of action of small molecules, functionally annotate genetic variants of disease genes, and inform clinical trials. The 1.3 million L1000 profiles described here, as well as tools for their analysis, are available at https://clue.io.	Cell	1097-4172			497.0		1136.0			1136.0	4.0	80.0								
CLUE Repurposing App	https://clue.io/repurposing-app	Tool to explore repurposing collection of ~5000 tool compounds and drugs	LINCS Transcriptomics	[]																								
CREEDS	https://amp.pharm.mssm.edu/CREEDS/	Collections of processed gene, drug and disease signatures from GEO	DCIC	[27667448.0]	10.1038/ncomms12846	Extraction and analysis of signatures from the Gene Expression Omnibus by the crowd		Gene expression data are accumulating exponentially in public repositories. Reanalysis and integration of themed collections from these studies may provide new insights, but requires further human curation. Here we report a crowdsourcing project to annotate and reanalyse a large number of gene expression profiles from Gene Expression Omnibus (GEO). Through a massive open online course on Coursera, over 70 participants from over 25 countries identify and annotate 2,460 single-gene perturbation signatures, 839 disease versus normal signatures, and 906 drug perturbation signatures. All these signatures are unique and are manually validated for quality. Global analysis of these signatures confirms known associations and identifies novel associations between genes, diseases and drugs. The manually curated signatures are used as a training set to develop classifiers for extracting similar signatures from the entire GEO repository. We develop a web portal to serve these signatures for query, download and visualization.	Nature communications	2041-1723			76.0		218.0	39.0	3.0	218.0		41.0								
